row,100
clystère            ,[ 3 12 25 19 20 28 18  5  0  0  0  0  0  0  0  0  0  0  0  0]
clytemnestre        ,[ 3 12 25 20  5 13 14  5 19 20 18  5  0  0  0  0  0  0  0  0]
cléandre            ,[ 3 12 27  1 14  4 18  5  0  0  0  0  0  0  0  0  0  0  0  0]
cléante             ,[ 3 12 27  1 14 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
clémence            ,[ 3 12 27 13  5 14  3  5  0  0  0  0  0  0  0  0  0  0  0  0]
cléomène            ,[ 3 12 27 15 13 28 14  5  0  0  0  0  0  0  0  0  0  0  0  0]
cléon               ,[ 3 12 27 15 14  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
cléonte             ,[ 3 12 27 15 14 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
cléopâtre           ,[ 3 12 27 15 16 32 20 18  5  0  0  0  0  0  0  0  0  0  0  0]
cocher              ,[ 3 15  3  8  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
cochers             ,[ 3 15  3  8  5 18 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
cochon              ,[ 3 15  3  8 15 14  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
cocu                ,[ 3 15  3 21  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
cocuage             ,[ 3 15  3 21  1  7  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
cocus               ,[ 3 15  3 21 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
cocyte              ,[ 3 15  3 25 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
coeur               ,[ 3 15  5 21 18  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
coeurs              ,[ 3 15  5 21 18 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
coffres             ,[ 3 15  6  6 18  5 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
cogné               ,[ 3 15  7 14 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
cohue               ,[ 3 15  8 21  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
coiffe              ,[ 3 15  9  6  6  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
coiffes             ,[ 3 15  9  6  6  5 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
coiffeuses          ,[ 3 15  9  6  6  5 21 19  5 19  0  0  0  0  0  0  0  0  0  0]
coiffé              ,[ 3 15  9  6  6 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
coin                ,[ 3 15  9 14  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
coins               ,[ 3 15  9 14 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
colei               ,[ 3 15 12  5  9  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
colifichets         ,[ 3 15 12  9  6  9  3  8  5 20 19  0  0  0  0  0  0  0  0  0]
coliques            ,[ 3 15 12  9 17 21  5 19  0  0  0  0  0  0  0  0  0  0  0  0]
collaborateur       ,[ 3 15 12 12  1  2 15 18  1 20  5 21 18  0  0  0  0  0  0  0]
collation           ,[ 3 15 12 12  1 20  9 15 14  0  0  0  0  0  0  0  0  0  0  0]
collationnées       ,[ 3 15 12 12  1 20  9 15 14 14 27  5 19  0  0  0  0  0  0  0]
coller              ,[ 3 15 12 12  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
collet              ,[ 3 15 12 12  5 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
collège             ,[ 3 15 12 12 28  7  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
collèges            ,[ 3 15 12 12 28  7  5 19  0  0  0  0  0  0  0  0  0  0  0  0]
colonnes            ,[ 3 15 12 15 14 14  5 19  0  0  0  0  0  0  0  0  0  0  0  0]
colorait            ,[ 3 15 12 15 18  1  9 20  0  0  0  0  0  0  0  0  0  0  0  0]
colère              ,[ 3 15 12 28 18  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
com                 ,[ 3 15 13  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
combat              ,[ 3 15 13  2  1 20  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
combats             ,[ 3 15 13  2  1 20 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
combattaient        ,[ 3 15 13  2  1 20 20  1  9  5 14 20  0  0  0  0  0  0  0  0]
combattez           ,[ 3 15 13  2  1 20 20  5 26  0  0  0  0  0  0  0  0  0  0  0]
combattirent        ,[ 3 15 13  2  1 20 20  9 18  5 14 20  0  0  0  0  0  0  0  0]
combattis           ,[ 3 15 13  2  1 20 20  9 19  0  0  0  0  0  0  0  0  0  0  0]
combattre           ,[ 3 15 13  2  1 20 20 18  5  0  0  0  0  0  0  0  0  0  0  0]
combattront         ,[ 3 15 13  2  1 20 20 18 15 14 20  0  0  0  0  0  0  0  0  0]
combattu            ,[ 3 15 13  2  1 20 20 21  0  0  0  0  0  0  0  0  0  0  0  0]
combattue           ,[ 3 15 13  2  1 20 20 21  5  0  0  0  0  0  0  0  0  0  0  0]
combattus           ,[ 3 15 13  2  1 20 20 21 19  0  0  0  0  0  0  0  0  0  0  0]
combien             ,[ 3 15 13  2  9  5 14  0  0  0  0  0  0  0  0  0  0  0  0  0]
comblant            ,[ 3 15 13  2 12  1 14 20  0  0  0  0  0  0  0  0  0  0  0  0]
comble              ,[ 3 15 13  2 12  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
combler             ,[ 3 15 13  2 12  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0]
comblé              ,[ 3 15 13  2 12 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
comblée             ,[ 3 15 13  2 12 27  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
comblés             ,[ 3 15 13  2 12 27 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
come                ,[ 3 15 13  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
comique             ,[ 3 15 13  9 17 21  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
comiques            ,[ 3 15 13  9 17 21  5 19  0  0  0  0  0  0  0  0  0  0  0  0]
commanda            ,[ 3 15 13 13  1 14  4  1  0  0  0  0  0  0  0  0  0  0  0  0]
commandait          ,[ 3 15 13 13  1 14  4  1  9 20  0  0  0  0  0  0  0  0  0  0]
commande            ,[ 3 15 13 13  1 14  4  5  0  0  0  0  0  0  0  0  0  0  0  0]
commandement        ,[ 3 15 13 13  1 14  4  5 13  5 14 20  0  0  0  0  0  0  0  0]
commandements       ,[ 3 15 13 13  1 14  4  5 13  5 14 20 19  0  0  0  0  0  0  0]
commander           ,[ 3 15 13 13  1 14  4  5 18  0  0  0  0  0  0  0  0  0  0  0]
commanderez         ,[ 3 15 13 13  1 14  4  5 18  5 26  0  0  0  0  0  0  0  0  0]
commandez           ,[ 3 15 13 13  1 14  4  5 26  0  0  0  0  0  0  0  0  0  0  0]
commandiez          ,[ 3 15 13 13  1 14  4  9  5 26  0  0  0  0  0  0  0  0  0  0]
commandons          ,[ 3 15 13 13  1 14  4 15 14 19  0  0  0  0  0  0  0  0  0  0]
commandé            ,[ 3 15 13 13  1 14  4 27  0  0  0  0  0  0  0  0  0  0  0  0]
commandées          ,[ 3 15 13 13  1 14  4 27  5 19  0  0  0  0  0  0  0  0  0  0]
commandés           ,[ 3 15 13 13  1 14  4 27 19  0  0  0  0  0  0  0  0  0  0  0]
comme               ,[ 3 15 13 13  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
commence            ,[ 3 15 13 13  5 14  3  5  0  0  0  0  0  0  0  0  0  0  0  0]
commencement        ,[ 3 15 13 13  5 14  3  5 13  5 14 20  0  0  0  0  0  0  0  0]
commencer           ,[ 3 15 13 13  5 14  3  5 18  0  0  0  0  0  0  0  0  0  0  0]
commenceront        ,[ 3 15 13 13  5 14  3  5 18 15 14 20  0  0  0  0  0  0  0  0]
commences           ,[ 3 15 13 13  5 14  3  5 19  0  0  0  0  0  0  0  0  0  0  0]
commencez           ,[ 3 15 13 13  5 14  3  5 26  0  0  0  0  0  0  0  0  0  0  0]
commencèrent        ,[ 3 15 13 13  5 14  3 27  0  0  0  0  0  0  0  0  0  0  0  0]
commencé            ,[ 3 15 13 13  5 14  3 27  5  0  0  0  0  0  0  0  0  0  0  0]
commencée           ,[ 3 15 13 13  5 14  3 28 18  5 14 20  0  0  0  0  0  0  0  0]
comment             ,[ 3 15 13 13  5 14 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
commentaire         ,[ 3 15 13 13  5 14 20  1  9 18  5  0  0  0  0  0  0  0  0  0]
commença            ,[ 3 15 13 13  5 14 29  1  0  0  0  0  0  0  0  0  0  0  0  0]
commençaient        ,[ 3 15 13 13  5 14 29  1  9  5 14 20  0  0  0  0  0  0  0  0]
commençons          ,[ 3 15 13 13  5 14 29 15 14 19  0  0  0  0  0  0  0  0  0  0]
commerce            ,[ 3 15 13 13  5 18  3  5  0  0  0  0  0  0  0  0  0  0  0  0]
commerces           ,[ 3 15 13 13  5 18  3  5 19  0  0  0  0  0  0  0  0  0  0  0]
commerciale         ,[ 3 15 13 13  5 18  3  9  1 12  5  0  0  0  0  0  0  0  0  0]
commercé            ,[ 3 15 13 13  5 18  3 27  0  0  0  0  0  0  0  0  0  0  0  0]
commets             ,[ 3 15 13 13  5 20 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
commettre           ,[ 3 15 13 13  5 20 20 18  5  0  0  0  0  0  0  0  0  0  0  0]
commis              ,[ 3 15 13 13  9 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
commise             ,[ 3 15 13 13  9 19  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
commises            ,[ 3 15 13 13  9 19  5 19  0  0  0  0  0  0  0  0  0  0  0  0]
commissaire         ,[ 3 15 13 13  9 19 19  1  9 18  5  0  0  0  0  0  0  0  0  0]
commissaires        ,[ 3 15 13 13  9 19 19  1  9 18  5 19  0  0  0  0  0  0  0  0]
commission          ,[ 3 15 13 13  9 19 19  9 15 14  0  0  0  0  0  0  0  0  0  0]
commode             ,[ 3 15 13 13 15  4  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
commodes            ,[ 3 15 13 13 15  4  5 19  0  0  0  0  0  0  0  0  0  0  0  0]
commodité           ,[ 3 15 13 13 15  4  9 20 27  0  0  0  0  0  0  0  0  0  0  0]
commun              ,[ 3 15 13 13 21 14  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
communauté          ,[ 3 15 13 13 21 14  1 21 20 27  0  0  0  0  0  0  0  0  0  0]
commune             ,[ 3 15 13 13 21 14  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
communique          ,[ 3 15 13 13 21 14  9 17 21  5  0  0  0  0  0  0  0  0  0  0]
communiquées        ,[ 3 15 13 13 21 14  9 17 21 27  5 19  0  0  0  0  0  0  0  0]
communs             ,[ 3 15 13 13 21 14 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
communément         ,[ 3 15 13 13 21 14 27 13  5 14 20  0  0  0  0  0  0  0  0  0]
compagne            ,[ 3 15 13 16  1  7 14  5  0  0  0  0  0  0  0  0  0  0  0  0]
compagnes           ,[ 3 15 13 16  1  7 14  5 19  0  0  0  0  0  0  0  0  0  0  0]
compagnie           ,[ 3 15 13 16  1  7 14  9  5  0  0  0  0  0  0  0  0  0  0  0]
compagnon           ,[ 3 15 13 16  1  7 14 15 14  0  0  0  0  0  0  0  0  0  0  0]
compagnons          ,[ 3 15 13 16  1  7 14 15 14 19  0  0  0  0  0  0  0  0  0  0]
compania            ,[ 3 15 13 16  1 14  9  1  0  0  0  0  0  0  0  0  0  0  0  0]
companiae           ,[ 3 15 13 16  1 14  9  1  5  0  0  0  0  0  0  0  0  0  0  0]
companiam           ,[ 3 15 13 16  1 14  9  1 13  0  0  0  0  0  0  0  0  0  0  0]
comparable          ,[ 3 15 13 16  1 18  1  2 12  5  0  0  0  0  0  0  0  0  0  0]
comparaison         ,[ 3 15 13 16  1 18  1  9 19 15 14  0  0  0  0  0  0  0  0  0]
comparaisons        ,[ 3 15 13 16  1 18  1  9 19 15 14 19  0  0  0  0  0  0  0  0]
comparer            ,[ 3 15 13 16  1 18  5 18  0  0  0  0  0  0  0  0  0  0  0  0]
comparez            ,[ 3 15 13 16  1 18  5 26  0  0  0  0  0  0  0  0  0  0  0  0]
comparé             ,[ 3 15 13 16  1 18 27  0  0  0  0  0  0  0  0  0  0  0  0  0]
comparée            ,[ 3 15 13 16  1 18 27  5  0  0  0  0  0  0  0  0  0  0  0  0]
compassion          ,[ 3 15 13 16  1 19 19  9 15 14  0  0  0  0  0  0  0  0  0  0]
compatible          ,[ 3 15 13 16  1 20  9  2 12  5  0  0  0  0  0  0  0  0  0  0]
compatir            ,[ 3 15 13 16  1 20  9 18  0  0  0  0  0  0  0  0  0  0  0  0]
compatis            ,[ 3 15 13 16  1 20  9 19  0  0  0  0  0  0  0  0  0  0  0  0]
compatissent        ,[ 3 15 13 16  1 20  9 19 19  5 14 20  0  0  0  0  0  0  0  0]
compiègne           ,[ 3 15 13 16  9 28  7 14  5  0  0  0  0  0  0  0  0  0  0  0]
complaire           ,[ 3 15 13 16 12  1  9 18  5  0  0  0  0  0  0  0  0  0  0  0]
complaisance        ,[ 3 15 13 16 12  1  9 19  1 14  3  5  0  0  0  0  0  0  0  0]
complaisances       ,[ 3 15 13 16 12  1  9 19  1 14  3  5 19  0  0  0  0  0  0  0]
complaisant         ,[ 3 15 13 16 12  1  9 19  1 14 20  0  0  0  0  0  0  0  0  0]
complaisantes       ,[ 3 15 13 16 12  1  9 19  1 14 20  5 19  0  0  0  0  0  0  0]
complaisants        ,[ 3 15 13 16 12  1  9 19  1 14 20 19  0  0  0  0  0  0  0  0]
complexions         ,[ 3 15 13 16 12  5 24  9 15 14 19  0  0  0  0  0  0  0  0  0]
complice            ,[ 3 15 13 16 12  9  3  5  0  0  0  0  0  0  0  0  0  0  0  0]
compliment          ,[ 3 15 13 16 12  9 13  5 14 20  0  0  0  0  0  0  0  0  0  0]
compliments         ,[ 3 15 13 16 12  9 13  5 14 20 19  0  0  0  0  0  0  0  0  0]
complot             ,[ 3 15 13 16 12 15 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
complots            ,[ 3 15 13 16 12 15 20 19  0  0  0  0  0  0  0  0  0  0  0  0]
complète            ,[ 3 15 13 16 12 28 20  5  0  0  0  0  0  0  0  0  0  0  0  0]
complètement        ,[ 3 15 13 16 12 28 20  5 13  5 14 20  0  0  0  0  0  0  0  0]
comporter           ,[ 3 15 13 16 15 18 20  5 18  0  0  0  0  0  0  0  0  0  0  0]
composa             ,[ 3 15 13 16 15 19  1  0  0  0  0  0  0  0  0  0  0  0  0  0]
composassiez        ,[ 3 15 13 16 15 19  1 19 19  9  5 26  0  0  0  0  0  0  0  0]
compose             ,[ 3 15 13 16 15 19  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
composent           ,[ 3 15 13 16 15 19  5 14 20  0  0  0  0  0  0  0  0  0  0  0]
composer            ,[ 3 15 13 16 15 19  5 18  0  0  0  0  0  0  0  0  0  0  0  0]
composition         ,[ 3 15 13 16 15 19  9 20  9 15 14  0  0  0  0  0  0  0  0  0]
composé             ,[ 3 15 13 16 15 19 27  0  0  0  0  0  0  0  0  0  0  0  0  0]
composée            ,[ 3 15 13 16 15 19 27  5  0  0  0  0  0  0  0  0  0  0  0  0]
comprend            ,[ 3 15 13 16 18  5 14  4  0  0  0  0  0  0  0  0  0  0  0  0]
comprendre          ,[ 3 15 13 16 18  5 14  4 18  5  0  0  0  0  0  0  0  0  0  0]
comprends           ,[ 3 15 13 16 18  5 14  4 19  0  0  0  0  0  0  0  0  0  0  0]
compris             ,[ 3 15 13 16 18  9 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
comprises           ,[ 3 15 13 16 18  9 19  5 19  0  0  0  0  0  0  0  0  0  0  0]
comprit             ,[ 3 15 13 16 18  9 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
compromettre        ,[ 3 15 13 16 18 15 13  5 20 20 18  5  0  0  0  0  0  0  0  0]
compréhension       ,[ 3 15 13 16 18 27  8  5 14 19  9 15 14  0  0  0  0  0  0  0]
comptait            ,[ 3 15 13 16 20  1  9 20  0  0  0  0  0  0  0  0  0  0  0  0]
comptant            ,[ 3 15 13 16 20  1 14 20  0  0  0  0  0  0  0  0  0  0  0  0]
compte              ,[ 3 15 13 16 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
comptent            ,[ 3 15 13 16 20  5 14 20  0  0  0  0  0  0  0  0  0  0  0  0]
compter             ,[ 3 15 13 16 20  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0]
comptez             ,[ 3 15 13 16 20  5 26  0  0  0  0  0  0  0  0  0  0  0  0  0]
compté              ,[ 3 15 13 16 20 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
comptés             ,[ 3 15 13 16 20 27 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
compère             ,[ 3 15 13 16 27 20  9 20  5 21 18  0  0  0  0  0  0  0  0  0]
compétiteur         ,[ 3 15 13 16 28 18  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
comte               ,[ 3 15 13 20  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
comtesse            ,[ 3 15 13 20  5 19 19  5  0  0  0  0  0  0  0  0  0  0  0  0]
comédie             ,[ 3 15 13 27  4  9  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
comédien            ,[ 3 15 13 27  4  9  5 14  0  0  0  0  0  0  0  0  0  0  0  0]
comédienne          ,[ 3 15 13 27  4  9  5 14 14  5  0  0  0  0  0  0  0  0  0  0]
comédiennes         ,[ 3 15 13 27  4  9  5 14 14  5 19  0  0  0  0  0  0  0  0  0]
comédiens           ,[ 3 15 13 27  4  9  5 14 19  0  0  0  0  0  0  0  0  0  0  0]
comédies            ,[ 3 15 13 27  4  9  5 19  0  0  0  0  0  0  0  0  0  0  0  0]
con                 ,[ 3 15 14  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
concedo             ,[ 3 15 14  3  5  4 15  0  0  0  0  0  0  0  0  0  0  0  0  0]
concerne            ,[ 3 15 14  3  5 18 14  5  0  0  0  0  0  0  0  0  0  0  0  0]
concert             ,[ 3 15 14  3  5 18 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
concerts            ,[ 3 15 14  3  5 18 20 19  0  0  0  0  0  0  0  0  0  0  0  0]
concertée           ,[ 3 15 14  3  5 18 20 27  5  0  0  0  0  0  0  0  0  0  0  0]
concevable          ,[ 3 15 14  3  5 22  1  2 12  5  0  0  0  0  0  0  0  0  0  0]
concevez            ,[ 3 15 14  3  5 22  5 26  0  0  0  0  0  0  0  0  0  0  0  0]
conceviez           ,[ 3 15 14  3  5 22  9  5 26  0  0  0  0  0  0  0  0  0  0  0]
concevoir           ,[ 3 15 14  3  5 22 15  9 18  0  0  0  0  0  0  0  0  0  0  0]
conclu              ,[ 3 15 14  3 12 21  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
conclue             ,[ 3 15 14  3 12 21  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
conclure            ,[ 3 15 14  3 12 21 18  5  0  0  0  0  0  0  0  0  0  0  0  0]
conclusion          ,[ 3 15 14  3 12 21 19  9 15 14  0  0  0  0  0  0  0  0  0  0]
conclut             ,[ 3 15 14  3 12 21 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
concours            ,[ 3 15 14  3 15 21 18 19  0  0  0  0  0  0  0  0  0  0  0  0]
concurrence         ,[ 3 15 14  3 21 18 18  5 14  3  5  0  0  0  0  0  0  0  0  0]
concurrent          ,[ 3 15 14  3 21 18 18  5 14 20  0  0  0  0  0  0  0  0  0  0]
concédé             ,[ 3 15 14  3 27  4 27  0  0  0  0  0  0  0  0  0  0  0  0  0]
condamnable         ,[ 3 15 14  4  1 13 14  1  2 12  5  0  0  0  0  0  0  0  0  0]
condamnables        ,[ 3 15 14  4  1 13 14  1  2 12  5 19  0  0  0  0  0  0  0  0]
condamnai           ,[ 3 15 14  4  1 13 14  1  9  0  0  0  0  0  0  0  0  0  0  0]
condamnait          ,[ 3 15 14  4  1 13 14  1  9 20  0  0  0  0  0  0  0  0  0  0]
condamnant          ,[ 3 15 14  4  1 13 14  1 14 20  0  0  0  0  0  0  0  0  0  0]
condamnation        ,[ 3 15 14  4  1 13 14  1 20  9 15 14  0  0  0  0  0  0  0  0]
condamne            ,[ 3 15 14  4  1 13 14  5  0  0  0  0  0  0  0  0  0  0  0  0]
condamnent          ,[ 3 15 14  4  1 13 14  5 14 20  0  0  0  0  0  0  0  0  0  0]
condamner           ,[ 3 15 14  4  1 13 14  5 18  0  0  0  0  0  0  0  0  0  0  0]
condamnera          ,[ 3 15 14  4  1 13 14  5 18  1  0  0  0  0  0  0  0  0  0  0]
condamnerais        ,[ 3 15 14  4  1 13 14  5 18  1  9 19  0  0  0  0  0  0  0  0]
condamneriez        ,[ 3 15 14  4  1 13 14  5 18  9  5 26  0  0  0  0  0  0  0  0]
condamnes           ,[ 3 15 14  4  1 13 14  5 19  0  0  0  0  0  0  0  0  0  0  0]
condamné            ,[ 3 15 14  4  1 13 14 27  0  0  0  0  0  0  0  0  0  0  0  0]
condamnée           ,[ 3 15 14  4  1 13 14 27  5  0  0  0  0  0  0  0  0  0  0  0]
condanni            ,[ 3 15 14  4  1 14 14  9  0  0  0  0  0  0  0  0  0  0  0  0]
condescendance      ,[ 3 15 14  4  5 19  3  5 14  4  1 14  3  5  0  0  0  0  0  0]
condition           ,[ 3 15 14  4  9 20  9 15 14  0  0  0  0  0  0  0  0  0  0  0]
conditionné         ,[ 3 15 14  4  9 20  9 15 14 14 27  0  0  0  0  0  0  0  0  0]
conditionnés        ,[ 3 15 14  4  9 20  9 15 14 14 27 19  0  0  0  0  0  0  0  0]
conditions          ,[ 3 15 14  4  9 20  9 15 14 19  0  0  0  0  0  0  0  0  0  0]
conduire            ,[ 3 15 14  4 21  9 18  5  0  0  0  0  0  0  0  0  0  0  0  0]
conduisais          ,[ 3 15 14  4 21  9 19  1  9 19  0  0  0  0  0  0  0  0  0  0]
conduisait          ,[ 3 15 14  4 21  9 19  1  9 20  0  0  0  0  0  0  0  0  0  0]
conduise            ,[ 3 15 14  4 21  9 19  5  0  0  0  0  0  0  0  0  0  0  0  0]
conduisent          ,[ 3 15 14  4 21  9 19  5 14 20  0  0  0  0  0  0  0  0  0  0]
conduisez           ,[ 3 15 14  4 21  9 19  5 26  0  0  0  0  0  0  0  0  0  0  0]
conduisîtes         ,[ 3 15 14  4 21  9 19 35 20  5 19  0  0  0  0  0  0  0  0  0]
conduit             ,[ 3 15 14  4 21  9 20  0  0  0  0  0  0  0  0  0  0  0  0  0]
conduite            ,[ 3 15 14  4 21  9 20  5  0  0  0  0  0  0  0  0  0  0  0  0]
conduits            ,[ 3 15 14  4 21  9 20 19  0  0  0  0  0  0  0  0  0  0  0  0]
condé               ,[ 3 15 14  4 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
confessaient        ,[ 3 15 14  6  5 19 19  1  9  5 14 20  0  0  0  0  0  0  0  0]
confesse            ,[ 3 15 14  6  5 19 19  5  0  0  0  0  0  0  0  0  0  0  0  0]
confesser           ,[ 3 15 14  6  5 19 19  5 18  0  0  0  0  0  0  0  0  0  0  0]
confesses           ,[ 3 15 14  6  5 19 19  5 19  0  0  0  0  0  0  0  0  0  0  0]
confessez           ,[ 3 15 14  6  5 19 19  5 26  0  0  0  0  0  0  0  0  0  0  0]
confession          ,[ 3 15 14  6  5 19 19  9 15 14  0  0  0  0  0  0  0  0  0  0]
confia              ,[ 3 15 14  6  9  1  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
confiance           ,[ 3 15 14  6  9  1 14  3  5  0  0  0  0  0  0  0  0  0  0  0]
confidemment        ,[ 3 15 14  6  9  4  5 13 13  5 14 20  0  0  0  0  0  0  0  0]
confidence          ,[ 3 15 14  6  9  4  5 14  3  5  0  0  0  0  0  0  0  0  0  0]
confidences         ,[ 3 15 14  6  9  4  5 14  3  5 19  0  0  0  0  0  0  0  0  0]
confident           ,[ 3 15 14  6  9  4  5 14 20  0  0  0  0  0  0  0  0  0  0  0]
confidente          ,[ 3 15 14  6  9  4  5 14 20  5  0  0  0  0  0  0  0  0  0  0]
confidérable        ,[ 3 15 14  6  9  4 27 18  1  2 12  5  0  0  0  0  0  0  0  0]
confie              ,[ 3 15 14  6  9  5  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
confier             ,[ 3 15 14  6  9  5 18  0  0  0  0  0  0  0  0  0  0  0  0  0]
confirmant          ,[ 3 15 14  6  9 18 13  1 14 20  0  0  0  0  0  0  0  0  0  0]
confirme            ,[ 3 15 14  6  9 18 13  5  0  0  0  0  0  0  0  0  0  0  0  0]
confirmer           ,[ 3 15 14  6  9 18 13  5 18  0  0  0  0  0  0  0  0  0  0  0]
confirmé            ,[ 3 15 14  6  9 18 13 27  0  0  0  0  0  0  0  0  0  0  0  0]
confiscation        ,[ 3 15 14  6  9 19  3  1 20  9 15 14  0  0  0  0  0  0  0  0]
confitures          ,[ 3 15 14  6  9 20 21 18  5 19  0  0  0  0  0  0  0  0  0  0]
confié              ,[ 3 15 14  6  9 27  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
confiée             ,[ 3 15 14  6  9 27  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
confiés             ,[ 3 15 14  6  9 27 19  0  0  0  0  0  0  0  0  0  0  0  0  0]
confond             ,[ 3 15 14  6 15 14  4  0  0  0  0  0  0  0  0  0  0  0  0  0]
confondant          ,[ 3 15 14  6 15 14  4  1 14 20  0  0  0  0  0  0  0  0  0  0]
confonde            ,[ 3 15 14  6 15 14  4  5  0  0  0  0  0  0  0  0  0  0  0  0]
confondent          ,[ 3 15 14  6 15 14  4  5 14 20  0  0  0  0  0  0  0  0  0  0]
confondre           ,[ 3 15 14  6 15 14  4 18  5  0  0  0  0  0  0  0  0  0  0  0]
confondu            ,[ 3 15 14  6 15 14  4 21  0  0  0  0  0  0  0  0  0  0  0  0]
confondue           ,[ 3 15 14  6 15 14  4 21  5  0  0  0  0  0  0  0  0  0  0  0]
conformant          ,[ 3 15 14  6 15 18 13  1 14 20  0  0  0  0  0  0  0  0  0  0]
conforme            ,[ 3 15 14  6 15 18 13  5  0  0  0  0  0  0  0  0  0  0  0  0]
conforment          ,[ 3 15 14  6 15 18 13  5 14 20  0  0  0  0  0  0  0  0  0  0]
conformer           ,[ 3 15 14  6 15 18 13  5 18  0  0  0  0  0  0  0  0  0  0  0]
conformes           ,[ 3 15 14  6 15 18 13  5 19  0  0  0  0  0  0  0  0  0  0  0]
conformisme         ,[ 3 15 14  6 15 18 13  9 19 13  5  0  0  0  0  0  0  0  0  0]
conformité          ,[ 3 15 14  6 15 18 13  9 20 27  0  0  0  0  0  0  0  0  0  0]
conforto            ,[ 3 15 14  6 15 18 20 15  0  0  0  0  0  0  0  0  0  0  0  0]
confreri            ,[ 3 15 14  6 18  5 18  9  0  0  0  0  0  0  0  0  0  0  0  0]
confrères           ,[ 3 15 14  6 18 27 18  9  5  0  0  0  0  0  0  0  0  0  0  0]
confrérie           ,[ 3 15 14  6 18 28 18  5 19  0  0  0  0  0  0  0  0  0  0  0]
confus              ,[ 3 15 14  6 21 19  0  0  0  0  0  0  0  0  0  0  0  0  0  0]
confuse             ,[ 3 15 14  6 21 19  5  0  0  0  0  0  0  0  0  0  0  0  0  0]
confusion           ,[ 3 15 14  6 21 19  9 15 14  0  0  0  0  0  0  0  0  0  0  0]
